adduser	3.134
adwaita-icon-theme	43-1
apt	2.6.1
at-spi2-common	2.46.0-5
base-files	12.4+deb12u15
base-passwd	3.6.1
bash	5.2.15-2+b13
blt	2.5.3+dfsg-4.1
bsdutils	1:2.38.1-5+deb12u3
ca-certificates	20250419~deb12u1
chromium	152.0.7977.82-1~deb12u1
chromium-common	152.0.7977.82-1~deb12u1
coreutils	9.1-1
dash	0.5.12-2
dbus	1.14.10-1~deb12u1
dbus-bin	1.14.10-1~deb12u1
dbus-daemon	1.14.10-1~deb12u1
dbus-session-bus-common	1.14.10-1~deb12u1
dbus-system-bus-common	1.14.10-1~deb12u1
dbus-user-session	1.14.10-1~deb12u1
dconf-gsettings-backend:arm64	0.40.0-4
dconf-service	0.40.0-4
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dmsetup	2:1.02.185-2
docutils-common	0.19+dfsg-6
dpkg	1.21.23
e2fsprogs	1.47.0-2+b2
findutils	4.9.0-4
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
fonts-urw-base35	20200910-7
gcc-12-base:arm64	12.2.0-14+deb12u1
gpgv	2.2.40-1.1+deb12u2
grep	3.8-5
gtk-update-icon-cache	3.24.38-2~deb12u3
gzip	1.12-1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu1
ieee-data	20220827.1
init-system-helpers	1.65.2+deb12u1
libacl1:arm64	2.3.1-3
libaom3:arm64	3.6.0-1+deb12u3
libapparmor1:arm64	3.0.8-3
libapt-pkg6.0:arm64	2.6.1
libargon2-1:arm64	0~20171227-0.3+deb12u1
libasound2:arm64	1.2.8-1+b1
libasound2-data	1.2.8-1
libasyncns0:arm64	0.8-6+b3
libatk-bridge2.0-0:arm64	2.46.0-5
libatk1.0-0:arm64	2.46.0-5
libatspi2.0-0:arm64	2.46.0-5
libattr1:arm64	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1:arm64	1:3.0.9-1
libavahi-client3:arm64	0.8-10+deb12u1
libavahi-common-data:arm64	0.8-10+deb12u1
libavahi-common3:arm64	0.8-10+deb12u1
libblas3:arm64	3.11.0-2
libblkid1:arm64	2.38.1-5+deb12u3
libbrotli1:arm64	1.0.9-2+b6
libbsd0:arm64	0.11.7-2
libbz2-1.0:arm64	1.0.8-5+b1
libc-ares2:arm64	1.18.1-3
libc-bin	2.36-9+deb12u14
libc-dev-bin	2.36-9+deb12u14
libc6:arm64	2.36-9+deb12u14
libc6-dev:arm64	2.36-9+deb12u14
libcairo-gobject2:arm64	1.16.0-7
libcairo2:arm64	1.16.0-7
libcap-ng0:arm64	0.8.3-1+b3
